,date_submitted,final_score
0,4.344827586206896,78.0
1,5.310344827586206,70.0
2,4.1034482758620685,72.0
3,6.275862068965517,69.0
4,4.586206896551723,79.0
5,4.827586206896552,70.0
6,4.344827586206896,72.0
7,4.586206896551723,72.0
8,2.172413793103448,71.0
9,4.344827586206896,68.0
10,4.586206896551723,73.0
11,4.344827586206896,67.0
12,4.1034482758620685,73.0
13,4.586206896551723,83.0
14,4.1034482758620685,66.0
15,4.586206896551723,59.0
16,4.586206896551723,82.0
17,5.310344827586206,60.0
18,4.344827586206896,67.0
19,4.344827586206896,73.0
20,5.068965517241379,75.0
21,4.1034482758620685,74.0
22,4.344827586206896,62.0
23,4.1034482758620685,63.0
24,3.862068965517241,84.0
25,4.586206896551723,80.0
26,4.586206896551723,76.0
27,7.2413793103448265,85.0
28,7.724137931034482,67.0
29,4.344827586206896,57.0
30,4.344827586206896,66.0
31,2.413793103448276,80.0
32,4.586206896551723,81.0
33,4.344827586206896,66.0
34,4.344827586206896,74.0
35,4.586206896551723,76.0
36,3.862068965517241,72.0
37,4.586206896551723,73.0
38,6.0344827586206895,75.0
39,6.275862068965517,69.0
40,4.344827586206896,85.0
41,4.344827586206896,63.0
42,4.344827586206896,87.0
43,4.586206896551723,72.0
44,3.6206896551724133,72.0
45,4.586206896551723,77.0
46,13.034482758620689,45.0
47,4.1034482758620685,65.0
48,4.586206896551723,61.0
49,4.586206896551723,75.0
50,4.586206896551723,52.0
51,4.344827586206896,77.0
52,7.724137931034482,52.0
53,6.0344827586206895,68.0
54,4.1034482758620685,54.0
55,4.586206896551723,75.0
56,4.344827586206896,82.0
57,4.586206896551723,85.0
58,4.344827586206896,79.0
59,4.586206896551723,65.0
60,4.344827586206896,82.0
61,4.586206896551723,60.0
62,4.586206896551723,76.0
63,4.586206896551723,60.0
64,4.344827586206896,60.0
65,4.1034482758620685,83.0
66,3.862068965517241,85.0
67,4.344827586206896,76.0
68,3.6206896551724133,51.0
69,4.344827586206896,61.0
70,4.827586206896552,76.0
71,4.586206896551723,57.0
72,4.586206896551723,67.0
73,4.344827586206896,65.0
74,5.793103448275861,74.0
75,7.96551724137931,85.0
76,4.1034482758620685,88.0
77,4.586206896551723,76.0
78,4.586206896551723,76.0
79,4.586206896551723,75.0
80,4.344827586206896,69.0
81,6.517241379310344,68.0
82,4.586206896551723,75.0
83,4.586206896551723,67.0
84,4.586206896551723,84.0
85,4.344827586206896,63.0
86,4.586206896551723,58.0
87,4.586206896551723,71.0
88,4.586206896551723,64.0
89,4.344827586206896,81.0
90,4.586206896551723,80.0
91,4.344827586206896,65.0
92,5.551724137931034,85.0
93,4.586206896551723,83.0
94,4.586206896551723,82.0
95,4.344827586206896,74.0
96,3.862068965517241,85.0
97,4.586206896551723,51.0
98,4.344827586206896,66.0
99,4.344827586206896,60.0
100,4.586206896551723,77.0
101,4.586206896551723,84.0
102,8.93103448275862,71.0
103,4.344827586206896,58.0
104,4.586206896551723,58.0
105,5.068965517241379,55.0
106,4.344827586206896,60.0
107,4.344827586206896,81.0
108,4.344827586206896,64.0
109,6.999999999999999,51.0
110,4.586206896551723,80.0
111,4.827586206896552,70.0
112,4.344827586206896,79.0
113,4.344827586206896,70.0
114,4.344827586206896,63.0
115,4.586206896551723,61.0
116,4.344827586206896,55.0
117,5.068965517241379,69.0
118,4.344827586206896,78.0
119,4.344827586206896,75.0
120,4.344827586206896,85.0
121,3.862068965517241,72.0
122,4.344827586206896,61.0
123,4.344827586206896,38.0
124,4.344827586206896,91.0
125,4.586206896551723,77.0
126,4.827586206896552,82.0
127,4.344827586206896,58.0
128,4.586206896551723,64.0
129,4.586206896551723,75.0
130,4.344827586206896,73.0
131,1.689655172413793,81.0
132,3.862068965517241,72.0
133,4.586206896551723,82.0
134,4.586206896551723,47.0
135,4.344827586206896,55.0
136,4.586206896551723,88.0
137,4.344827586206896,89.0
138,3.862068965517241,70.0
139,6.275862068965517,77.0
140,4.1034482758620685,82.0
141,4.586206896551723,85.0
142,3.862068965517241,58.0
143,4.344827586206896,38.0
144,4.344827586206896,84.0
145,4.344827586206896,69.0
146,4.586206896551723,72.0
147,4.586206896551723,77.0
148,4.586206896551723,57.0
149,4.344827586206896,36.0
150,4.586206896551723,86.0
151,4.1034482758620685,71.0
152,3.862068965517241,68.0
153,13.999999999999998,64.0
154,4.827586206896552,75.0
155,2.8965517241379306,68.0
156,3.379310344827586,62.0
157,4.586206896551723,74.0
158,4.344827586206896,61.0
159,4.586206896551723,70.0
160,3.862068965517241,75.0
161,4.586206896551723,85.0
162,4.586206896551723,75.0
163,4.586206896551723,49.0
164,3.6206896551724133,64.0
165,4.586206896551723,64.0
166,3.6206896551724133,68.0
167,4.344827586206896,88.0
168,4.586206896551723,54.0
169,4.344827586206896,61.0
170,4.827586206896552,58.0
171,4.586206896551723,86.0
172,4.344827586206896,86.0
173,4.1034482758620685,73.0
174,4.344827586206896,74.0
175,6.275862068965517,59.0
176,4.586206896551723,67.0
177,5.068965517241379,65.0
178,4.586206896551723,51.0
179,4.586206896551723,75.0
180,4.586206896551723,53.0
181,6.999999999999999,65.0
182,4.344827586206896,68.0
183,4.586206896551723,63.0
184,4.1034482758620685,54.0
185,4.586206896551723,55.0
186,3.862068965517241,80.0
187,4.344827586206896,52.0
188,4.586206896551723,85.0
189,4.344827586206896,81.0
190,4.827586206896552,67.0
191,4.827586206896552,80.0
192,4.586206896551723,59.0
193,4.344827586206896,54.0
194,4.827586206896552,74.0
195,4.586206896551723,39.0
196,4.586206896551723,91.0
197,4.586206896551723,86.0
198,3.6206896551724133,74.0
199,4.344827586206896,73.0
200,4.586206896551723,77.0
201,4.586206896551723,73.0
202,4.586206896551723,59.0
203,4.344827586206896,82.0
204,4.586206896551723,77.0
205,4.344827586206896,64.0
206,4.586206896551723,85.0
207,4.586206896551723,71.0
208,4.586206896551723,75.0
209,4.344827586206896,85.0
210,4.586206896551723,88.0
211,4.586206896551723,61.0
212,4.586206896551723,78.0
213,4.344827586206896,67.0
214,4.586206896551723,81.0
216,3.862068965517241,83.0
217,4.344827586206896,80.0
218,4.1034482758620685,64.0
219,4.344827586206896,63.0
220,4.344827586206896,78.0
221,6.517241379310344,62.0
222,4.344827586206896,82.0
223,4.586206896551723,76.0
224,4.344827586206896,59.0
225,4.586206896551723,73.0
226,4.586206896551723,90.0
227,4.586206896551723,66.0
228,6.275862068965517,45.0
229,5.068965517241379,77.0
230,12.068965517241379,58.0
231,4.586206896551723,85.0
232,7.2413793103448265,61.0
233,4.827586206896552,67.0
234,4.586206896551723,78.0
235,4.586206896551723,84.0
236,4.586206896551723,85.0
237,4.1034482758620685,82.0
238,3.862068965517241,83.0
239,4.1034482758620685,68.0
240,4.586206896551723,80.0
241,4.344827586206896,83.0
242,4.344827586206896,65.0
243,4.586206896551723,57.0
244,4.586206896551723,79.0
245,4.344827586206896,72.0
246,4.344827586206896,83.0
247,4.586206896551723,57.0
248,5.310344827586206,72.0
249,4.586206896551723,72.0
250,3.379310344827586,76.0
251,2.413793103448276,82.0
252,4.586206896551723,50.0
253,5.068965517241379,78.0
254,4.1034482758620685,75.0
255,4.586206896551723,79.0
256,4.586206896551723,75.0
257,4.586206896551723,62.0
258,4.344827586206896,56.0
259,8.689655172413792,30.0
260,5.551724137931034,60.0
261,4.586206896551723,88.0
262,4.586206896551723,72.0
263,5.068965517241379,65.0
264,4.344827586206896,80.0
265,5.551724137931034,86.0
266,5.551724137931034,65.0
267,4.586206896551723,50.0
268,4.586206896551723,68.0
269,4.344827586206896,61.0
270,5.310344827586206,76.0
271,4.344827586206896,70.0
272,3.6206896551724133,71.0
273,4.344827586206896,65.0
274,4.1034482758620685,64.0
275,2.172413793103448,75.0
276,3.862068965517241,73.0
277,4.344827586206896,73.0
278,4.586206896551723,71.0
279,4.586206896551723,80.0
280,4.344827586206896,60.0
281,4.586206896551723,72.0
282,6.275862068965517,11.0
283,4.586206896551723,56.0
284,6.0344827586206895,76.0
285,5.793103448275861,70.0
286,4.586206896551723,67.0
287,4.586206896551723,56.0
288,4.586206896551723,68.0
289,6.0344827586206895,90.0
290,4.586206896551723,63.0
291,4.586206896551723,50.0
292,4.586206896551723,64.0
293,4.827586206896552,75.0
294,4.344827586206896,55.0
295,3.379310344827586,77.0
296,4.827586206896552,86.0
297,4.586206896551723,80.0
298,5.793103448275861,51.0
299,4.1034482758620685,67.0
300,5.310344827586206,66.0
301,5.551724137931034,40.0
302,4.586206896551723,60.0
303,4.586206896551723,88.0
304,4.344827586206896,85.0
305,4.586206896551723,62.0
306,4.586206896551723,77.0
307,4.1034482758620685,82.0
308,4.1034482758620685,63.0
309,4.344827586206896,70.0
310,5.310344827586206,74.0
311,4.344827586206896,82.0
312,4.1034482758620685,74.0
313,4.586206896551723,63.0
314,6.275862068965517,58.0
315,3.6206896551724133,71.0
316,4.344827586206896,69.0
317,4.586206896551723,72.0
318,4.586206896551723,62.0
319,4.586206896551723,77.0
320,7.96551724137931,62.0
321,4.344827586206896,94.0
322,4.344827586206896,75.0
323,4.344827586206896,54.0
324,4.586206896551723,70.0
325,4.344827586206896,87.0
326,4.1034482758620685,86.0
327,4.586206896551723,63.0
328,4.586206896551723,66.0
329,4.344827586206896,64.0
330,3.6206896551724133,75.0
331,4.344827586206896,75.0
332,4.827586206896552,87.0
333,4.1034482758620685,66.0
334,5.551724137931034,80.0
335,4.586206896551723,64.0
336,3.6206896551724133,70.0
337,4.344827586206896,68.0
338,6.275862068965517,67.0
339,4.586206896551723,67.0
340,6.275862068965517,76.0
341,4.344827586206896,66.0
342,4.586206896551723,78.0
343,4.586206896551723,49.0
344,4.586206896551723,87.0
345,3.379310344827586,75.0
346,4.586206896551723,83.0
347,5.310344827586206,48.0
348,4.586206896551723,76.0
349,4.1034482758620685,67.0
350,4.344827586206896,59.0
351,4.1034482758620685,46.0
352,4.586206896551723,83.0
353,4.586206896551723,74.0
354,4.586206896551723,70.0
355,4.586206896551723,86.0
356,4.586206896551723,86.0
357,4.1034482758620685,89.0
358,5.310344827586206,58.0
359,13.517241379310343,68.0
